datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-28 09:20:00,SUPREMEIND,SUPREMEIND26FEBFUT,15225346,KBDT,buy,3508.1,175,3530.0,3417.8
2026-01-28 09:20:00,TCS,TCS26FEBFUT,15229186,KBDT,buy,3195.7,175,3214.9,3128.4
2026-01-28 09:25:00,COALINDIA,COALINDIA26FEBFUT,15178242,KBDT,buy,426.45,1350,428.5,419.45
2026-01-28 10:20:00,BRITANNIA,BRITANNIA26FEBFUT,15174658,KBDT,sell,5800.0,125,5798.5,5940.0
2026-01-28 10:30:00,HINDUNILVR,HINDUNILVR26FEBFUT,15193602,KBDT,sell,2361.9,300,2358.3,2418.0
2026-01-28 10:55:00,DELHIVERY,DELHIVERY26FEBFUT,15181826,KBDT,buy,403.75,2075,403.9,381.25
2026-01-28 11:05:00,PFC,PFC26FEBFUT,15217922,KBDT,buy,370.75,1300,370.95,356.05
2026-01-28 11:30:00,HAL,HAL26FEBFUT,15191298,KBDT,buy,4527.0,150,4532.4,4266.2
2026-01-28 11:55:00,RECLTD,RECLTD26FEBFUT,15221506,KBDT,buy,370.35,1400,370.45,359.65
2026-01-28 12:40:00,PIDILITIND,PIDILITIND26FEBFUT,15218690,KBDT,buy,1463.9,500,1464.0,1433.7
