datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-02 09:30:00+05:30,BLUESTARCO,BLUESTARCO26JANFUT,12626690,KBDT,buy,1801.1,325,1802.7,1784.5
2026-01-02 09:30:00+05:30,MUTHOOTFIN,MUTHOOTFIN26JANFUT,12706818,KBDT,buy,3873.4,275,3881.2,3868.0
2026-01-02 09:30:00+05:30,PGEL,PGEL26JANFUT,12794626,KBDT,buy,593.7,950,595.3,591.3
2026-01-02 10:50:00+05:30,SYNGENE,SYNGENE26JANFUT,12834050,KBDT,buy,655.95,1000,656.0,655.75
2026-01-02 10:55:00+05:30,SUZLON,SUZLON26JANFUT,12833538,KBDT,buy,53.45,9025,53.8,53.33
2026-01-02 11:00:00+05:30,YESBANK,YESBANK26JANFUT,12893954,KBDT,buy,21.98,31100,22.03,21.97
2026-01-02 11:05:00+05:30,JIOFIN,JIOFIN26JANFUT,12670722,KBDT,buy,303.0,2350,303.65,302.7
2026-01-02 11:15:00+05:30,MIDCPNIFTY,MIDCPNIFTY26JANFUT,12601858,KBDT,buy,14016.6,120,14020.0,14010.0
