datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-06 09:20:00+05:30,BAJAJFINSV,BAJAJFINSV26JANFUT,12621826,KBDT,buy,2062.4,250,2066.7,2056.4
2026-01-06 09:20:00+05:30,HDFCLIFE,HDFCLIFE26JANFUT,12652290,KBDT,buy,770.05,1100,775.4,761.5
2026-01-06 09:25:00+05:30,KFINTECH,KFINTECH26JANFUT,12676610,KBDT,sell,1058.8,500,1055.0,1064.0
2026-01-06 09:30:00+05:30,CUMMINSIND,CUMMINSIND26JANFUT,12633858,KBDT,sell,4314.7,200,4312.5,4336.3
2026-01-06 09:30:00+05:30,SBICARD,SBICARD26JANFUT,12799234,KBDT,buy,883.55,800,887.1,882.0
