datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-09 09:20:00+05:30,IDFCFIRSTB,IDFCFIRSTB26JANFUT,12655874,KBDT,buy,86.5,9275,86.86,85.69
2026-01-09 09:30:00+05:30,NAUKRI,NAUKRI26JANFUT,12712450,KBDT,sell,1331.1,375,1327.7,1332.2
2026-01-09 09:40:00+05:30,360ONE,360ONE26JANFUT,12604162,KBDT,sell,1162.8,500,1158.4,1164.9
2026-01-09 09:40:00+05:30,ZYDUSLIFE,ZYDUSLIFE26JANFUT,12900098,KBDT,sell,897.0,900,895.9,898.4
2026-01-09 11:55:00+05:30,PIIND,PIIND26JANFUT,12795394,KBDT,sell,3201.8,175,3199.8,3207.8
2026-01-09 12:50:00+05:30,PRESTIGE,PRESTIGE26JANFUT,12797442,KBDT,sell,1553.7,450,1552.5,1554.7
2026-01-09 13:45:00+05:30,DLF,DLF26JANFUT,12638722,KBDT,sell,675.25,825,674.8,678.55
2026-01-09 14:35:00+05:30,GLENMARK,GLENMARK26JANFUT,12644866,KBDT,sell,2022.4,375,2015.3,2022.6
