datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-07 09:20:00+05:30,CROMPTON,CROMPTON26JANFUT,12633602,KBDT,buy,264.5,1800,264.9,260.5
2026-01-07 09:20:00+05:30,TCS,TCS26JANFUT,12847874,KBDT,buy,3254.1,175,3260.8,3236.7
2026-01-07 09:25:00+05:30,PERSISTENT,PERSISTENT26JANFUT,12793858,KBDT,buy,6358.5,100,6392.0,6330.0
2026-01-07 09:50:00+05:30,INDIGO,INDIGO26JANFUT,12658690,KBDT,sell,4990.0,150,4989.0,4994.0
2026-01-07 10:05:00+05:30,MPHASIS,MPHASIS26JANFUT,12706562,KBDT,buy,2846.3,275,2850.0,2839.1
