datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-21 09:30:00,COFORGE,COFORGE26JANFUT,12631554,KBDT,sell,1634.2,375,1628.8,1654.9
2026-01-21 09:30:00,PERSISTENT,PERSISTENT26JANFUT,12793858,KBDT,sell,6250.0,100,6227.5,6349.5
2026-01-21 09:30:00,VBL,VBL26JANFUT,12887298,KBDT,sell,487.3,1125,484.8,488.3
2026-01-21 09:35:00,MPHASIS,MPHASIS26JANFUT,12706562,KBDT,sell,2775.7,275,2768.3,2789.3
2026-01-21 12:50:00,NAUKRI,NAUKRI26JANFUT,12712450,KBDT,buy,1333.8,375,1334.5,1323.5
2026-01-21 13:35:00,TATACONSUM,TATACONSUM26JANFUT,12834306,KBDT,sell,1167.2,550,1167.1,1169.7
2026-01-21 13:50:00,GODREJCP,GODREJCP26JANFUT,12645378,KBDT,sell,1227.2,500,1226.4,1228.1
