datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-16 10:10:00,BHARATFORG,BHARATFORG26JANFUT,12625154,KBDT,buy,1468.2,500,1468.5,1466.4
2026-01-16 10:10:00,LODHA,LODHA26JANFUT,12694018,KBDT,buy,1086.7,450,1089.0,1083.2
2026-01-16 10:20:00,MARICO,MARICO26JANFUT,12699138,KBDT,buy,762.05,1200,762.3,760.65
2026-01-16 10:35:00,RBLBANK,RBLBANK26JANFUT,12797698,KBDT,buy,323.25,3175,323.9,322.25
2026-01-16 11:20:00,360ONE,360ONE26JANFUT,12604162,KBDT,buy,1213.9,500,1217.4,1205.4
2026-01-16 12:30:00,MANKIND,MANKIND26JANFUT,12698626,KBDT,sell,2174.8,225,2168.5,2179.7
2026-01-16 12:45:00,FEDERALBNK,FEDERALBNK26JANFUT,12644098,KBDT,buy,269.35,5000,269.55,266.2
2026-01-16 14:05:00,ASIANPAINT,ASIANPAINT26JANFUT,12613122,KBDT,sell,2772.0,250,2768.7,2775.5
