datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-05 09:20:00+05:30,EXIDEIND,EXIDEIND26JANFUT,12642306,KBDT,buy,372.85,1800,373.6,370.7
2026-01-05 09:20:00+05:30,MFSL,MFSL26JANFUT,12704514,KBDT,buy,1697.4,400,1702.8,1683.1
2026-01-05 09:25:00+05:30,CUMMINSIND,CUMMINSIND26JANFUT,12633858,KBDT,buy,4527.0,200,4529.2,4509.9
2026-01-05 09:25:00+05:30,DELHIVERY,DELHIVERY26JANFUT,12634626,KBDT,buy,408.85,2075,409.05,408.1
2026-01-05 10:00:00+05:30,PERSISTENT,PERSISTENT26JANFUT,12793858,KBDT,sell,6131.0,100,6124.0,6161.0
2026-01-05 12:15:00+05:30,PRESTIGE,PRESTIGE26JANFUT,12797442,KBDT,buy,1650.5,450,1653.7,1648.8
2026-01-05 12:20:00+05:30,AMBER,AMBER26JANFUT,12610562,KBDT,buy,6766.5,100,6770.0,6751.0
2026-01-05 13:40:00+05:30,BRITANNIA,BRITANNIA26JANFUT,12627458,KBDT,buy,6110.0,125,6111.5,6107.5
