datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss,entry
2026-01-30 09:20:00,TCS,TCS26FEBFUT,15229186,KBDT,sell,3128.4,175,3112.9,3215.9,True
2026-01-30 09:25:00,INFY,INFY26FEBFUT,15200002,KBDT,sell,1635.2,400,1629.6,1672.0,True
2026-01-30 12:35:00,BAJAJ-AUTO,BAJAJ-AUTO26FEBFUT,15159298,KBDT,buy,9568.5,75,9574.5,9384.0,True
2026-01-30 12:35:00,RECLTD,RECLTD26FEBFUT,15221506,KBDT,sell,359.65,1400,359.1,382.85,True
2026-01-30 14:15:00,NESTLEIND,NESTLEIND26FEBFUT,15214082,KBDT,buy,1330.0,500,1332.9,1259.7,True
