datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-20 09:25:00,BLUESTARCO,BLUESTARCO26JANFUT,12626690,KBDT,sell,1765.2,325,1755.6,1771.8
2026-01-20 09:25:00,KPITTECH,KPITTECH26JANFUT,12678402,KBDT,sell,1150.7,425,1147.7,1151.8
2026-01-20 09:40:00,IEX,IEX26JANFUT,12656130,KBDT,sell,132.98,3750,132.71,133.54
2026-01-20 09:50:00,HINDUNILVR,HINDUNILVR26JANFUT,12653570,KBDT,buy,2426.1,300,2426.9,2422.4
2026-01-20 10:25:00,ONGC,ONGC26JANFUT,12751618,KBDT,sell,242.5,2250,242.31,242.81
2026-01-20 13:00:00,TATACONSUM,TATACONSUM26JANFUT,12834306,KBDT,buy,1200.0,550,1200.8,1194.2
2026-01-20 13:55:00,HAL,HAL26JANFUT,12646146,KBDT,sell,4366.8,150,4360.5,4375.8
2026-01-20 15:20:00,MARICO,MARICO26JANFUT,12699138,KBDT,sell,748.75,1200,748.4,750.5
