datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-29 09:20:00,MUTHOOTFIN,MUTHOOTFIN26FEBFUT,15213058,KBDT,buy,4040.0,275,4087.1,3900.0
2026-01-29 09:25:00,BANKBARODA,BANKBARODA26FEBFUT,15169794,KBDT,buy,308.55,2925,308.9,302.05
2026-01-29 10:10:00,PIIND,PIIND26FEBFUT,15218946,KBDT,sell,3125.0,175,3124.6,3224.2
2026-01-29 10:20:00,PIDILITIND,PIDILITIND26FEBFUT,15218690,KBDT,sell,1433.7,500,1433.2,1475.8
2026-01-29 10:50:00,DABUR,DABUR26FEBFUT,15181314,KBDT,sell,502.6,1250,502.1,522.7
2026-01-29 13:40:00,CANBK,CANBK26FEBFUT,15176450,KBDT,sell,149.99,6750,149.69,158.87
