datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss
2026-01-19 09:20:00,TATATECH,TATATECH26JANFUT,12847618,KBDT,buy,664.7,800,677.2,642.0
2026-01-19 10:00:00,SRF,SRF26JANFUT,12808450,KBDT,sell,3009.2,200,3005.0,3015.1
2026-01-19 10:10:00,CANBK,CANBK26JANFUT,12628226,KBDT,buy,158.12,6750,158.6,157.84
2026-01-19 11:35:00,LODHA,LODHA26JANFUT,12694018,KBDT,sell,1051.1,450,1047.4,1053.2
2026-01-19 12:50:00,DMART,DMART26JANFUT,12639234,KBDT,sell,3750.6,150,3743.2,3751.0
2026-01-19 13:30:00,ETERNAL,ETERNAL26JANFUT,12642050,KBDT,sell,277.7,2425,277.5,277.85
