datetime,symbol,tradingsymbol,instrument_token,trading_model,signal,signal_price,lot_size,entry_price,stop_loss,entry
2026-02-02 09:30:00,BAJAJHLDNG,BAJAJHLDNG26FEBFUT,13265154,KBDT,sell,10461.0,50,10409.0,10806.0,True
2026-02-02 09:30:00,BPCL,BPCL26FEBFUT,15174402,KBDT,buy,359.6,1975,359.7,339.1,True
2026-02-02 10:00:00,DRREDDY,DRREDDY26FEBFUT,15183106,KBDT,sell,1197.5,625,1192.4,1238.7,True
2026-02-02 11:20:00,GAIL,GAIL26FEBFUT,15186178,KBDT,sell,158.49,3150,158.46,167.31,True
2026-02-02 14:25:00,SUPREMEIND,SUPREMEIND26FEBFUT,15225346,KBDT,buy,3575.0,175,3575.1,3393.3,True
